address,zipcode,year_built
522 W MICHIGAN AVE,48197,1883
707 PEARL ST,48197,1845
511 PEARL ST,48197,1879
116 PERRIN ST,48197,1884
207 N HAMILTON ST,48197,1879
213 BALLARD ST,48197,1870
301 E CROSS ST,48198,1884
313 MAPLE ST,48198,1880
302 OAK ST,48198,1858
311 W FOREST AVE,48197,1884
318 W FOREST AVE,48197,1864
802 LOWELL ST,48197,1890
7200 PLATT RD,48197,1874
6340 WHITTAKER RD,48197,1875
406 S HURON ST,48197,1894
309 S WASHINGTON ST,48197,1890
302 S HURON ST,48197,1866
701 N CONGRESS ST,48197,1868
9 N RIVER ST,48198,1860
91 OAKWOOD AVE,48197,1894
101 N SUMMIT ST,48197,1874
810 PEARL ST,48197,1884
410 PEARL ST,48197,1890
113 MILES ST,48198,1870
117 N SUMMIT ST,48197,1869
121 COLLEGE PL,48197,1895
113 NORTH ST,48198,1874
217 N RIVER ST,48198,1891
202 MILES ST,48198,1870
314 N ADAMS ST,48197,1869
413 W CROSS ST,48197,1884
318 OAK ST,48198,1880
524 N ADAMS ST | 213-215 W FOREST AVE,48197,1880
224-226 W MICHIGAN AVE,48197,1899
120 W MICHIGAN AVE,48197,1860
309 FLORENCE ST,48197,1880
5200 BOLLA RD,48197,1890
856 HARRIET ST,48197,1880
725 HARRIET ST,48197,1888
436 S WASHINGTON ST,48197,1844
311-313 S HURON ST,48197,1870
211 S WASHINGTON ST,48197,1893
320 E CROSS ST,48198,1850
101 S GROVE ST,48198,1870
615 MICHIGAN AVE,48197,1883
101 S PARK ST,48198,1869
105 N HAMILTON ST,48197,1870
106 N ADAMS ST,48197,1894
105 N HURON ST,48197,1859
410 WASHTENAW AVE,48197,1884
514 WASHTENAW AVE,48197,1870
209 N SUMMIT ST,48197,1890
701 WASHTENAW AVE,48197,1870
208 N HAMILTON ST,48197,1889
213 OAKWOOD AVE,48197,1890
213 N HAMILTON ST,48197,1844
214 N HURON ST,48197,1850
923 SHERIDAN ST,48197,1840
943 W CROSS ST,48197,1894
219 N ADAMS ST,48197,1886
954 SHERIDAN ST,48197,1890
510 E CROSS ST,48198,1890
